Query_ID,Query_Text,Department,Priority_Label
3906,"Where can I find information about the university's graduation ceremony, including dates and times?",Administration,Low
7020,Tuition portal rejects credit card payment.,Finance Office,High
6709,the payment portal keeps giving me error 404 and today is the last day for the early bird tuition discount. i dont want to pay extra.,Finance Office,High
5087,how to submit general administrative feedback,Administration,Low
1570,is there any way to change my major from art to engineering? i decided that i want to build things instead.,Academic Office,Medium
897,"I am unable to access the course registration portal, and my window for enrollment closes in 90 minutes. I have already cleared my cache.",IT Support,High
6932,The laundry machines in South Hall are all full. Is there any other place I can do my laundry?,Student Housing,Low
6774,room key card reader takes multiple swipes,Student Housing,Medium
2789,There's a weird buzzing sound coming from the wall outlet in my room. It seems like it could be a fire hazard.,Student Housing,High
1718,the admission site crashed as i was entering my credit card for the deposit. the offer expires in 15 minutes. help!!,Admissions,High
2659,course registration page loads slowly sometimes,Academic Office,Medium
8247,documents needed for admission?,Admissions,Low
5271,I'm having trouble with the online portal for my student housing application.,Student Housing,Medium
6273,I noticed that the light in the library is flickering and it's making it hard to concentrate on my reading.,Library,Low
2025,I'm having trouble with the online portal for my student containerization request account.,IT Support,Medium
2964,the official campus map in the admin building has the wrong building name for the new science center. who do i tell?,Administration,Medium
8162,URGENT!! I missed my financial aid meeting because of a family crisis and now my package is showing as zero. Registration is tomorrow.,Finance Office,High
2834,I would like to request a new lock for my dorm room because my current one is very difficult to turn.,Student Housing,Medium
6111,is there a way to request a specific room in the dorm or is it first come first served this year? no hurry.,Student Housing,Medium
6684,I am an international student and I'm having trouble with the J-1 visa application process. I need my DS-2019 by tomorrow.,Admissions,High
185,The portal for study abroad applications is showing a database connection error for all students today. deadline is today. i am calm.,Admissions,High
1670,i'm tryin to figure out how to reset my student email password bc i forgot it again. no hurry.,IT Support,Medium
618,i need an override for a class that starts in 1 hour. i am a graduating senior and this is the only section available.,Academic Office,High
224,my password reset link isn't arriving and my online final worth half my grade starts in 20 minutes.,IT Support,High
2157,application review taking longer than expected,Admissions,Medium
3118,how do i request a replacement for my student id card if it's just cracked but still works fine?,Administration,Low
106,There is a massive flood in the basement of the administration building! Water is pouring in from the ceiling!,Administration,High
4805,dorm AC filter replacement request,Student Housing,Medium
281,how do i change the emergency contact listed on my student file? i want to update it to my brother.,Administration,Low
4810,my admission offer was rescinded because of a missing transcript that I already sent three times. i need someone to look at my file now.,Admissions,High
2843,I just received a disciplinary notice for an exam I didn't even take. This is a massive administrative error.,Administration,High
14,i think i lost my keys in the library... has anyone turned them in??,Library,Low
700,recent payment not showing in history,Finance Office,Medium
395,Are study rooms available tonight?,Library,Low
5196,I would like to inquire about the possibility of auditing a course in the Art History department next semester.,Academic Office,Low
8249,i'm interested in the 2029 doctoral program requirements. i know it's early but i like to be prepared.,Admissions,Low
1090,the library's copier is out of toner and i need to make copies for my class.,Library,Low
2290,i am calm but my financial aid refund check was stolen from my mailbox and i need to stop payment on it tonight.,Finance Office,High
484,Is there a way to see my unofficial transcript from five years ago? I'm just curious about my old grades.,Academic Office,Low
2044,library borrowing period question,Library,Low
514,I received an email stating that my financial aid package has been revoked. I need this corrected immediately as my tuition is due tomorrow.,Finance Office,High
934,application verification taking longer than usual,Admissions,Medium
820,URGENT!!!!!!!! i need to know where the laundry room is in block c i have no clean clothes left and i have a date tonight please hurry!!!!!!,Student Housing,Low
1416,how do i change the emergency contact listed on my student file? i want to update it to my mother. thx.,Administration,Low
5127,I need to withdraw from all my classes due to a medical emergency. What is the process to do this today to avoid academic penalty?,Academic Office,High
4365,cannot access exam form closes soon,Academic Office,High
2470,I am a prospective student and I would like to know if you offer any full scholarships for international students.,Admissions,Low
1043,i'm havign trouble with the university's email on my phone it's not syncing any of my new messages.,IT Support,Medium
3099,There is a significant flood in the basement of the West Wing library near the rare manuscripts. We need maintenance immediately.,Library,High
827,I am calm but my financial aid disbursement is missing and i am being threatened with a late fee of $1000 today at 5pm.,Finance Office,High
6436,I noticed that the printer in the study lounge is out of ink. Can someone replace the cartridge?,IT Support,Low
7298,My scholarship was supposed to be disbursed yesterday and I need that money to pay my rent by tomorrow or I'll be evicted.,Finance Office,High
8321,Is there a lost and found for water bottles?,Administration,Low
3250,URGENT PLEASE!! I can't find my financial aid award letter anywhere in the portal and I need to show it to my bank today.,Finance Office,Medium
2622,I noticed that the temperature in the cafeteria is very high today. Is the air conditioning working at all?,Administration,Low
2884,I have a question about the immunization requirements for international students.,Admissions,Low
4934,I need a copy of my 1098-T tax form from two years ago. Is it possible to get this via email?,Finance Office,Low
1780,transcripts uploaded but system shows pending,Admissions,Medium
7926,How can I check the status of my financial aid application?,Finance Office,Low
7808,I would like to inquire about the possibility of living in the honors dorms for the next academic year.,Student Housing,Low
4145,I am locked out of the science lab and my experiment requires cooling every 2 hours or the samples will be lost.,Academic Office,High
4097,I need to know the requirements for the study abroad program in London for next fall.,Academic Office,Low
1356,I am a prospective student and I'm confused about the application requirements for the fine arts program.,Admissions,Low
8578,I require an official transcript to apply for a job.,Administration,Medium
643,The university's network is down and I cannot access my files for my final presentation that starts in 30 minutes. Please fix it now!,IT Support,High
694,How can I check the status of my graduation application?,Administration,Low
8060,The lock on my dorm room is broken and I can't leave my valuables inside because I can't lock the door.,Student Housing,High
3608,There is a massive electrical fire in the basement of the dorm. The smoke is filling the upper floors.,Student Housing,High
749,idk how to cite a tiktok video for my sociology paper... does the library have a guide for that? pls let me know.,Library,Low
3882,exam registration submission failing with deadline approaching,Academic Office,High
530,i'm tryin to find the library's policy on borrowing laptops for the weekend. can i take one home if i sign a waiver?,Library,Medium
8841,finance office scholarship eligibility inquiry,Finance Office,Medium
8873,"Tuition portal issue, payment stuck.",Finance Office,High
3865,I'm looking for the university policy on poster placement. i want to put up flyers for my new club next week. no rush.,Administration,Low
2443,"Tuition statement incorrect, need help ASAP.",Finance Office,High
5272,hi i was sick for my mid term yesterday and i have a doctor note. how do i reschedule it?,Academic Office,Medium
2502,application documents missing just before submission deadline,Admissions,High
6741,I'm having trouble with the online portal for my student cloud computing request account setup.,IT Support,Medium
3704,dorm bulletin board posting rules,Student Housing,Low
471,my roommate is very loud and i can't study. can i get a single room?,Student Housing,Low
5680,my name is misspelled on my final graduation certificate. i need this fixed today so it's ready for the ceremony tomorrow.,Administration,High
2155,HOW DO I PRINT STUFF???? I NEED TO PRINT MY ASSIGNMENT NOW NOW NOW!!!!!!!!,Library,Medium
7583,invoice shows pending fee that was paid,Finance Office,Medium
6117,i'm tryin to find the official university policy on academic integrity. is it in the handbook or on the student website?,Administration,Medium
4447,transcript delivery delayed without notification,Administration,Medium
1128,tuition portal down and payment due today,Finance Office,High
3981,I noticed an overcharge of $150 on my account for a 'Health Insurance Fee' even though I submitted my waiver last month.,Finance Office,Medium
6219,I'm having trouble with the library's online chat service for research assistance.,Library,Low
5292,I'd like to request a change of major. Who should I contact to start the process?,Academic Office,Medium
1359,Official transcript request for scholarship submission.,Administration,Low
61,i need my official transcripts sent to the embassy by tomorrow morning or my student visa will be denied.,Administration,High
5042,my diploma has the wrong major printed on it and i need the corrected version for my job start on monday morning.,Administration,High
316,Someone in my dorm is having a loud party and it's late at night. can someone please help?,Student Housing,Medium
7922,tuition miscalculated and due immediately,Finance Office,High
3285,I would like to know the criteria for the dean's list for the social science major students.,Academic Office,Low
4010,i am calm but i need to report that my bank transfer for the full tuition amount was sent to the wrong university account and the late fee deadline is today.,Finance Office,High
2561,Could you provide the historical tuition rates for the year 1995? I am writing a paper on educational inflation.,Finance Office,Low
4852,I AM SO UPSET!! MY REFUND WAS SENT TO THE WRONG BANK ACCOUNT BECAUSE OF A TYPO IN YOUR SYSTEM!! I NEED THAT MONEY FOR RENT!!,Finance Office,Medium
8779,i'm tryin to figure out how to get a student discount for the local bus pass. do i need a form from the registrar or the student union?,Administration,Low
6486,idk how to find my student id number. i need it to log into the housing portal. help?,IT Support,Low
5051,I would like to request a copy of the university's policy on use of university facilities.,Administration,Low
5486,I'm having trouble with the online course registration. It says I don't have the prerequisites for a class I already took.,Academic Office,Medium
3625,uploaded transcripts not marked as received,Admissions,Medium
42,Someone in my dorm is smoking in their room. It's against the rules and it's affecting my health.,Student Housing,Medium
3661,The door to the study room in the basement of the library is jammed and won't lock from the inside.,Library,Medium
3217,hey can i get a new mattress for my dorm? this one is really uncomfortable and my back hurts every morning.,Student Housing,Medium
1348,the sink in room 302 is totally overflowin and there's water everywhere in the hall. pls send someone now.,Student Housing,High
3294,I am getting an error code 403 when trying to access the library's digital resources from off-campus.,Library,Medium
5514,i need to report that my password was changed without permission and i cannot access my final project.,IT Support,High
2791,I noticed that the carpet in my dorm room is coming up at the edges. It's a bit of a tripping hazard.,Student Housing,Low
8281,where to request transcript?,Administration,Low
1000,my window was smashed from the outside and i am on the ground floor. i dont feel safe sleeping here tonight.,Student Housing,High
6818,The library's main database is down and I cannot access the sources for my bar exam preparation which is in two days.,Library,High
3284,Portal crashed submitting homework.,IT Support,High
3619,My student ID works for the library but won't open the door to the 24-hour computer lab. Can you check my permissions?,IT Support,Medium
3999,"the university's background check service is reporting that i have a criminal record, which is a complete error. i will lose my job offer tonight.",Administration,High
4845,hi id like to know if the admissions office has any spare tote bags from the open house last month?,Admissions,Low
5389,the financial aid portal is returning a 500 server error and the deadline for my tuition waiver is in one hour. i've tried three browsers.,IT Support,High
304,"The bursar's office is showing a $1,000 late fee on my account even though i paid early. registration for graduation is today.",Finance Office,High
8612,The library's digital book reader app is crashing every time I try to open my assigned reading for English 101.,Library,Medium
60,HELP ASAP!! I THINK THE LIBRARY LIBRARIAN LOST MY RESERVED BOOK!! I NEED IT TO STUDY FOR MY FINALS NEXT WEEK I AM DYING!!,Library,Medium
400,I'M SO STRESSED!! I SUBMITTED MY APPLICATION 5 MINUTES AFTER THE DEADLINE BECAUSE THE SITE CRASHED!! WILL I BE CONSIDERED??,Admissions,Medium
54,i am having trouble with my university email account. i'm not receiving any emails from my professors.,IT Support,High
57,"I would like to request an official transcript for my internship application, but there is no rush as the deadline is in three weeks.",Academic Office,Low
5062,application portal resets form inputs unexpectedly,Admissions,Medium
6438,the system crashed while i was clicking submit for my final thesis. the deadline was 2 minutes ago. check the logs please.,IT Support,High
151,OMG SOMEONE HELP I LOST MY FAVORITE SCARF NEAR THE CAFETERIA PLEASE TELL ME IF ANYONE FOUND IT IT WAS A GIFT FROM MY GRANNY!!!!!,Administration,Low
5646,The university's system for processing graduation clearances is down and i need my verification for a job starting tomorrow morning at 9am.,Administration,High
6452,Is there a specific form I need to fill out if I want to live in the graduate student housing next year?,Student Housing,Low
1993,I smell something burning in the wall behind my radiator. The wall is hot to the touch.,Student Housing,High
1294,hello i need to know if the library has the latest version of the apa manual im very worried about my bibliography please let me know right away!!!!!,Library,Low
2106,System crashed while submitting homework.,IT Support,High
1577,I'm having a hard time logging into the library's remote database from off-campus. It keeps saying my credentials are invalid.,Library,Medium
1247,my financial aid refund check was stolen from my mailbox and i need to stop payment on it before it is cashed tonight.,Finance Office,High
1025,I REALLY NEED TO KNOW RIGHT NOW IF THE CAFETERIA IS GOING TO HAVE TACOS NEXT TUESDAY OR I WILL DIE!!!,Administration,Low
30,"The university's portal for study abroad applications is showing a 'database connection error' for all students today, and the deadline is in 4 hours.",Admissions,High
523,"hey, is there any way to get a list of all the alumni who work in the fashion industry? no rush.",Admissions,Low
527,I am writing to request a formal investigation into a grade I received. I believe there has been a calculation error in my final physics average.,Academic Office,Medium
8190,I need help with my application for a student scholarship for students in computer science.,Finance Office,Low
5826,finance office payment plan clarification,Finance Office,Medium
8094,Portal crashed submitting assignment today.,IT Support,High
3233,student housing maintenance ticket partially acknowledged,Student Housing,Medium
5137,I noticed that the printer in the study lounge is out of toner. Can someone please come and replace the cartridge today?,IT Support,Low
1160,I'm having trouble with the library's citation manager software. It keeps crashing on my Mac.,Library,Medium
1233,the vpn is down and i need to access the library database for my history project due in 4 hours.,IT Support,High
2577,i'm tryin to find out if i can get a copy of my official transcript sent to my home address for my records?,Academic Office,Medium
384,The university website is down and I am trying to pay my graduation fee before the 5 PM deadline today.,IT Support,High
13,I'm having trouble with the library's online book request system. It keeps giving me an error message.,Library,Low
155,Could you please investigate why I was charged a 'Late Registration Fee' when I registered on the very first day?,Finance Office,Medium
1472,library account issue partially resolved,Library,Medium
977,I am having trouble finding a specific research paper in the university's digital archives. Could someone help me?,Library,Low
119,"The course registration portal is down for maintenance, but my enrollment window expires in 30 minutes. Please assist.",IT Support,High
5386,I noticed an error in my transcript. it says i failed a class that i actually got an A in. I need this fixed for my graduation check next week.,Academic Office,High
6828,i cant get the wifi to work on my nintendo switch in the dorms. it says the security settings aren't supported.,IT Support,Low
8725,I'm having trouble with the library's online reservation system for study rooms.,Library,Low
3335,my student loan check was sent to my home address instead of my dorm. i need to redirect it so i can pay my rent tomorrow.,Finance Office,High
166,The system for submitting letters of recommendation is down and the deadline is in three hours. My professor is waiting.,Admissions,High
603,I AM LITERALLY IN TEARS BECAUSE I DONT KNOW IF THE ADMISSIONS OFFICE HAS A RECYCLING BIN FOR CARDBOARD!!!,Admissions,Low
229,The university's system for submitting graduate school applications is down and the deadline is in four hours.,Admissions,High
150,The university website is displaying my social security number on the student profile page. This is a severe breach.,Administration,High
8077,can u help me find the link for the online application for the study abroad program? thx.,Admissions,Medium
5780,system froze during file upload just before deadline,IT Support,High
2091,pls update dorm maintenance ticket,Student Housing,Medium
7757,I'm having trouble with the shower in my dorm. The water pressure is very low.,Student Housing,Medium
4858,I would like to request a copy of the university's policy on chemical safety.,Academic Office,Low
5595,application page duplicates entries after refresh,Admissions,Medium
1686,i'm having trouble with the university's vpn on my windows laptop it keeps saying connection failed for no reason.,IT Support,Medium
2532,I am unable to log in to the student health portal to confirm my emergency appointment for tomorrow.,IT Support,High
1023,"Hello, I noticed a discrepancy in my tuition bill regarding the lab fees for my Chemistry course. It appears I was charged twice.",Finance Office,Medium
257,invoice shows duplicate charge line,Finance Office,Medium
1929,I would like to inquire about the different types of housing available for married students.,Student Housing,Low
6631,"Login failed, MFA missing.",IT Support,High
4191,MFA not sending code cannot login before submission,IT Support,High
8200,Is there a specific form I need to fill out if I want to audit a class as a non-degree seeking student?,Admissions,Low
249,i need to report a broken window in the common room. someone threw a ball through it.,Student Housing,Medium
231,I AM ABSOLUTELY LIVID!! The software license for SPSS is expired on my laptop and I have a lab report due in 4 days!!!,IT Support,Medium
7517,tuition miscalculated and must fix today,Finance Office,High
1038,i want to know the hours of the university's bookstore. are they open on saturdays? thx.,Admissions,Low
3748,hey id like to know if the university provides certificates for participation in the student leadership workshop. no rush.,Administration,Low
1716,I would like to inquire about the university's policy for student travel grants for research.,Academic Office,Low
193,i'm tryin to figure out if i can get a discount on my meal plan bc i realized i dont eat breakfast. thx.,Finance Office,Medium
1909,The microwave in the dorm kitchen smells like smoke when I turn it on. I think it’s a fire hazard.,Student Housing,High
5502,I AM IN TEARS!! MY NEW ROOMMATE HAS A CAT AND I AM EXTREMELY ALLERGIC BUT THE HOUSING OFFICE ISN'T PICKING UP!!,Student Housing,Medium
1039,payment failed and blocks registration today,Finance Office,High
5823,PLEASE!!!!!! I NEED TO KNOW IF I CAN GET A REFUND FOR MY PARKING PASS I DON'T HAVE A CAR ANYMORE!!!!!!! PLEASE HELP!!!!!!,Finance Office,Low
3212,The ceiling in the campus administrative building is leaking onto the server racks in the basement. We need a team there now.,IT Support,High
8008,PLEASE HELP ME I CANT FIND THE LINK TO THE CAMPUS MAP AND I AM LITERALLY SO LOST AND CRYING RIGHT NOW HELP!!!!!!!!!!,Admissions,Low
1880,I'm having trouble with the heating in the library's computer lab. It's very hot.,Library,Low
1277,The portal for international health records is rejecting my vaccine card. the deadline is tonight at midnight sharp. i am calm.,Admissions,High
5244,I received an acceptance letter but the link to the enrollment portal is not working. The deadline to accept is in 12 hours.,Admissions,High
1137,room door lock jammed and cant enter at night,Student Housing,High
1558,I have been waiting for two weeks for my student work-study contract to be processed. I really need to start my shifts.,Finance Office,Medium
3673,course registration shows outdated availability intermittently,Academic Office,Medium
5373,OH MY GOD!! I JUST SAW MY BILL AND IT SAYS I OWE $2000 FOR A HOUSING DEPOSIT I ALREADY SENT BY WIRE!! CHECK YOUR RECORDS!!,Finance Office,Medium
